player_id,team_id,jersey_no,player_name,posi_to_play,dt_of_bir,age,playing_club
160001,1201,1,Etrit Berisha,GK,3/10/89,27,Lazio
160008,1201,2,Andi Lila,DF,2/12/86,30,Giannina
160016,1201,3,Ermir Lenjani,MF,8/5/89,26,Nantes
160007,1201,4,Elseid Hysaj,DF,2/20/94,22,Napoli
160013,1201,5,Lorik Cana,MF,7/27/83,32,Nantes
160010,1201,6,Frederic Veseli,DF,11/20/92,23,Lugano
160004,1201,7,Ansi Agolli,DF,10/11/82,33,Qarabag
160012,1201,8,Migjen Basha,MF,1/5/87,29,Como
160017,1201,9,Ledian Memushaj,MF,12/17/86,29,Pescara
160023,1201,10,Armando Sadiku,FD,5/27/91,25,Vaduz
160022,1201,11,Shkelzen Gashi,FD,7/15/88,27,Colorado
160003,1201,12,Orges Shehi,GK,9/25/77,38,Skenderbeu
160015,1201,13,Burim Kukeli,MF,1/16/84,32,Zurich
160019,1201,14,Taulant Xhaka,MF,3/28/91,25,Basel
160009,1201,15,Mergim Mavraj,DF,6/9/86,30,Koln
160021,1201,16,Sokol Cikalleshi,FD,7/27/90,25,Istanbul Basaksehir
160006,1201,17,Naser Aliji,DF,12/27/93,22,Basel
160005,1201,18,Arlind Ajeti,DF,9/25/93,22,Frosinone
160020,1201,19,Bekim Balaj,FD,1/11/91,25,Rijeka
160014,1201,20,Ergys Kace,MF,7/8/93,22,PAOK
160018,1201,21,Odise Roshi,MF,5/22/91,25,Rijeka
160011,1201,22,Amir Abrashi,MF,3/27/90,26,Freiburg
160002,1201,23,Alban Hoxha,GK,11/23/87,28,Partizani
160024,1202,1,Robert Almer,GK,3/20/84,32,Austria Wien
160036,1202,2,Gyorgy Garics,MF,3/8/84,32,Darmstadt
160027,1202,3,Aleksandar Dragovic,DF,3/6/91,25,Dynamo Kyiv
160029,1202,4,Martin Hinteregger,DF,9/7/92,23,Monchengladbach
160028,1202,5,Christian Fuchs,DF,4/7/86,30,Leicester
160038,1202,6,Stefan Ilsanker,MF,5/18/89,27,Leipzig
160043,1202,7,Marko Arnautovic,FD,4/19/89,27,Stoke
160034,1202,8,David Alaba,MF,6/24/92,23,Bayern
160046,1202,9,Rubin Okotie,FD,6/6/87,29,1860 Munchen
160040,1202,10,Zlatko Junuzovic,MF,9/26/87,28,Bremen
160037,1202,11,Martin Harnik,MF,6/10/87,29,Stuttgart
160025,1202,12,Heinz Lindner,GK,7/17/90,25,Frankfurt
160032,1202,13,Markus Suttner,DF,4/16/87,29,Ingolstadt
160035,1202,14,Julian Baumgartlinger,MF,1/2/88,28,Mainz
160031,1202,15,Sebastian Prodl,DF,6/21/87,28,Watford
160033,1202,16,Kevin Wimmer,DF,11/15/92,23,Tottenham
